filename,file_size,num_sections,num_imported_functions,num_suspicious_imports,num_exported_functions,has_signature,avg_section_entropy,label
tidy,120736,8,62,0,1,1,3.052836245303551,0
lldb,118848,10,13,0,1,1,2.23610416522408,0
gnumake,118848,10,13,0,1,1,2.23610416522408,0
auvaltool,400464,13,221,10,19,1,3.4369351888034796,0
leaks,517104,26,282,5,1,1,3.208340660881518,0
strings,118848,10,13,0,1,1,2.23610416522408,0
atrm,170832,10,94,1,1,1,3.102731411107966,0
lsappinfo,1315872,21,749,71,1,1,2.8910855002820806,0
stringdups,245920,23,181,1,1,1,2.7932905272595496,0
vim,5469856,15,251,5,1,1,3.3062722102982267,0
jmap,135664,11,35,0,1,1,2.967061289411817,0
tiffutil,172240,14,85,1,1,1,2.8929025145679077,0
lpstat,169392,10,53,2,1,1,2.871266682302289,0
write,119184,6,45,0,1,1,3.819895117567603,0
gktool,180544,22,139,0,1,1,2.608511145524664,0
base64,136480,10,62,1,1,1,3.0258383046614243,0
afktool,227936,17,148,0,1,1,3.054300988337845,0
smbutil,386496,17,185,6,88,1,3.049742790160144,0
script,136128,9,54,0,1,1,3.0551704173198684,0
gm4,118848,10,13,0,1,1,2.23610416522408,0
eslogger,1217184,29,450,3,1,1,3.1752007864404437,0
tr,135344,9,36,0,1,1,2.6007276299163102,0
install,137152,10,77,3,1,1,3.0964843892080007,0
resolveLinks,118848,10,13,0,1,1,2.23610416522408,0
say,197728,14,204,2,1,1,2.8704856388639137,0
toe,119728,8,53,0,1,1,2.968557869776362,0
getopt,100912,6,5,0,1,1,3.0450539188620183,0
install_name_tool,118848,10,13,0,1,1,2.23610416522408,0
login,139312,10,102,2,1,1,2.8965449860321777,0
IOSDebug,170336,20,52,1,1,1,2.4621594921952523,0
renice,101216,6,11,0,1,1,3.5933441441359584,0
ul,134992,8,30,0,1,1,2.8003052288498504,0
xed,118912,10,12,0,1,1,2.1561904087499904,0
jshell,135664,11,35,0,1,1,2.967061289411817,0
atsutil,138096,14,66,0,1,1,2.742359238196675,0
file,551136,11,135,0,1,1,3.0987870462126748,0
servertool,135664,11,35,0,1,1,2.967061289411817,0
javadoc,135664,11,35,0,1,1,2.967061289411817,0
trace,509024,27,341,5,1,1,2.9087122607609417,0
diffstat,169472,9,61,0,1,1,3.203114788678172,0
slogin,1474224,16,465,20,1,1,3.130124045977622,0
cpio,160320,8,148,0,1,1,3.432153370649945,0
sc_usage,169568,8,65,3,1,1,3.185666762858514,0
ppdi,291568,13,76,2,1,1,3.349566632331,0
sort,206032,10,129,0,1,1,2.890278471988297,0
dynamic_pager,102320,7,24,0,1,1,3.0934755141498136,0
mdutil,316000,17,266,7,1,1,2.892229305586664,0
db_deadlock,2059056,11,132,6,1,1,3.325595027025163,0
uux,274512,11,107,4,1,1,2.8827889755046794,0
su,121904,8,80,1,1,1,3.2407412444244956,0
md5,136576,10,62,0,1,1,3.059982441901543,0
sntp,120032,7,43,3,1,1,3.5747581976161227,0
groups,102192,7,32,0,1,1,3.352589352004359,0
db_codegen,2091856,11,131,6,1,1,3.3338665730578,0
gcore,309376,10,176,2,1,1,2.966158414119569,0
bunzip2,169296,10,56,1,1,1,2.7687192762050468,0
zprint,170320,11,52,0,1,1,2.661341322837498,0
ippfind,171104,12,85,5,1,1,2.691924867376437,0
odutil,268496,19,139,5,1,1,2.615407501683063,0
memory_pressure,135264,8,31,0,1,1,3.380352475777648,0
nmedit,118848,10,13,0,1,1,2.23610416522408,0
networkQuality,255664,23,75,0,1,1,2.9880372906039283,0
sips,489328,23,365,5,1,1,3.137016447839007,0
quotacheck,135888,9,47,1,1,1,2.80282077837332,0
jot,134800,8,25,0,1,1,2.8577579555777977,0
compression_tool,118976,7,30,0,1,1,3.2621952083678623,0
nbdst,121104,7,57,3,1,1,3.135811332550201,0
kextunload,137728,13,59,2,1,1,2.331633157595906,0
whoami,102192,7,32,0,1,1,3.352589352004359,0
route,153472,9,67,1,1,1,2.771294178343993,0
binhex,169664,8,59,0,1,1,3.9819433088638454,0
sample,174832,23,98,1,1,1,2.7041372503173866,0
uniq,102192,8,32,0,1,1,3.0296900082933975,0
pl,136832,11,20,0,1,1,3.1827312676577324,0
uptime,136640,9,60,0,1,1,2.512139589077579,0
hdiutil,732800,14,549,20,1,1,3.147504113326334,0
SafeEjectGPU,136048,12,33,0,1,1,2.6948092529561003,0
ldapurl,651888,14,223,3,1,1,2.9188930621323523,0
dscacheutil,137680,12,72,0,1,1,2.987997678239601,0
sftp,339680,12,147,4,1,1,3.0692574725814286,0
uuidgen,134112,6,12,0,1,1,3.6567612824212845,0
usdchecker,847728,9,122,2,88,1,4.084075331858273,0
screen,668416,11,149,4,1,1,3.4665180934690096,0
ncctl,135248,7,32,0,1,1,2.8173944940639655,0
trash,135424,13,29,0,1,1,2.860848568211247,0
vmmap,263776,25,200,1,1,1,3.0074841473281766,0
lessecho,117760,8,11,0,1,1,2.833360666051666,0
bzgrep,153824,10,76,0,1,1,2.8160263793393283,0
open,306720,25,130,0,1,1,2.6792128055783504,0
printf,102000,8,27,0,1,1,3.2885180913989123,0
update_mcdp29xx,96784,11,73,0,1,1,2.7293914455204327,0
tty,101184,6,11,0,1,1,3.3330770444428577,0
osascript,175776,23,138,0,1,1,2.594082756549102,0
banner,134512,8,21,0,1,1,2.9787019426945713,0
